#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
BASF14   1.701107  -.10910E+00   .32871E-01  .000014   .000036   .460
BASF50   1.711586  -.10602E+00   .25751E-01  .000017   .000044   .455
BASF51   1.725087  -.10385E+00   .23514E-01  .000022   .000056   .455
BASF52   1.703037  -.93840E-01   .16606E-01  .000015   .000038   .400
BASF54   1.737899  -.12459E+00   .42990E-01  .000019   .000046   .465
BASF55   1.701248  -.11002E+00   .33226E-01  .000013   .000033   .465
BASF56   1.658426  -.97656E-01   .25922E-01  .000015   .000050   .455
BASF57   1.652589  -.85174E-01   .16528E-01  .000022   .000038   .400
LAFN2    1.745195  -.91217E-01   .12716E-01  .000017   .000059   .400
LAFN3    1.718074  -.82166E-01   .83569E-02  .000019   .000056   .400
LAFN7    1.751034  -.11720E+00   .29595E-01  .000022   .000043   .455
LAFN8    1.736465  -.96932E-01   .17021E-01  .000017   .000044   .400
LAF9     1.797027  -.15202E+00   .59212E-01  .000020   .000060   .465
LAF10    1.785717  -.98260E-01   .11690E-01  .000023   .000051   .400
LAFN11   1.758620  -.12968E+00   .40435E-01  .000017   .000053   .455
LAF13    1.776974  -.11214E+00   .24733E-01  .000025   .000054   .455
LAF20    1.683496  -.77865E-01   .81405E-02  .000022   .000043   .400
LAF21    1.789509  -.91657E-01   .62015E-02  .000017   .000047   .400
LAF22    1.783297  -.11514E+00   .29666E-01  .000017   .000042   .460
LAF23    1.690005  -.76606E-01   .73624E-02  .000019   .000049   .400
LAF24    1.758334  -.87267E-01   .60862E-02  .000016   .000043   .400
LAF25    1.785634  -.10413E+00   .18107E-01  .000018   .000045   .400
LAF26    1.747309  -.10217E+00   .19393E-01  .000015   .000038   .400
LAF28    1.774263  -.85808E-01   .34950E-02  .000016   .000043   .400
LASFN3   1.809432  -.10872E+00   .18571E-01  .000022   .000057   .400
LASF8    1.809228  -.13914E+00   .44434E-01  .000021   .000053   .460
LASF9    1.852133  -.14352E+00   .48282E-01  .000027   .000067   .460
LASF11   1.802962  -.99593E-01   .11116E-01  .000020   .000053   .400
LASF13   1.857116  -.12781E+00   .29305E-01  .000033   .000081   .455
LASF15   1.879649  -.12604E+00   .23305E-01  .000027   .000069   .400
LASF18   1.915494  -.15392E+00   .45794E-01  .000021   .000051   .460
LASF30   1.804429  -.95248E-01   .72188E-02  .000019   .000052   .400
LASF31   1.882209  -.11757E+00   .16792E-01  .000037   .000094   .400
LASF32   1.805371  -.14376E+00   .51972E-01  .000012   .000031   .470
LASF33   1.807636  -.12834E+00   .37887E-01  .000024   .000059   .455
